Booking_ID,Hotel_Name,Booking_Date,Check_In_Date,Check_Out_Date,Customer_Nationality,Booking_Platform,Room_Type_Booked,Number_of_Adults,Number_of_Children,Number_of_Nights,Total_Guests,Room_Price_Per_Night,Total_Price,Meal_Plan,Cancellation_Policy,Lead_Time,Previous_Cancellations,Previous_Bookings_Not_Canceled,Special_Requests,Payment_Method,Is_Repeated_Guest,Deposit_Type,Average_Daily_Rate,Is_Weekend_Stay,Required_Car_Parking_Spaces,Total_Special_Requests,Customer_Rating,Cancellation_Status
BK001000,Heritage Hotel,2023-04-25,2023-05-07,2023-05-19,Germany,Direct Booking,Family Room,2,0,12,2,766.8,9201.6,All Inclusive,Flexible,12,4,6,None,Credit Card,0,No Deposit,766.8,1,2,0,,1
BK001001,Boutique Hotel Central,2023-07-23,2024-06-19,2024-07-01,Japan,Hotels.com,Family Room,4,2,12,6,889.2,10670.4,Room Only,Moderate,332,5,6,"Early Check-in, Extra Bed",Debit Card,1,No Deposit,889.2,0,1,2,6.0,0
BK001002,Grand Plaza Hotel,2024-04-15,2025-01-14,2025-01-16,Mexico,Hotels.com,Deluxe,3,2,2,5,562.5,1125.0,Bed & Breakfast,Flexible,274,0,10,Early Check-in,Credit Card,0,Partial,562.5,0,1,1,,1
BK001003,Heritage Hotel,2024-01-09,2024-04-01,2024-04-07,France,Direct Booking,Executive Suite,1,1,6,2,882.5,5295.0,Bed & Breakfast,Moderate,83,3,6,"Late Checkout, High Floor",PayPal,0,No Deposit,882.5,0,0,2,,0
BK001004,Luxury Palace,2023-10-02,2023-11-04,2023-11-08,Mexico,Phone Booking,Presidential Suite,2,3,4,5,987.0,3948.0,Full Board,Moderate,33,2,2,Early Check-in,Corporate Billing,1,Partial,987.0,1,1,1,5.0,0
BK001005,Seaside Resort,2023-02-18,2023-04-15,2023-04-18,Brazil,Agoda,Twin Room,1,3,3,4,330.0,990.0,All Inclusive,Non-refundable,56,4,4,None,Corporate Billing,0,Full,330.0,1,2,0,,0
BK001006,Heritage Hotel,2023-12-15,2024-02-10,2024-02-15,Spain,Agoda,Double Room,1,2,5,3,369.6,1848.0,Bed & Breakfast,Flexible,57,5,4,Airport Pickup,PayPal,0,No Deposit,369.6,1,2,1,,0
BK001007,Spa & Wellness Resort,2023-11-28,2024-08-04,2024-08-05,UK,Corporate Account,Executive Suite,2,0,1,2,507.5,507.5,All Inclusive,Flexible,250,0,7,None,Cash on Arrival,0,No Deposit,507.5,1,1,0,,0
BK001008,Mountain View Lodge,2023-09-29,2024-06-25,2024-07-09,China,Hotels.com,Family Room,2,2,14,4,511.2,7156.8,Half Board,Non-refundable,270,4,7,None,Debit Card,0,No Deposit,511.2,0,0,0,,0
BK001009,City Center Inn,2024-08-25,2024-12-15,2024-12-16,UK,Booking.com,Family Room,1,0,1,1,448.2,448.2,Room Only,Moderate,112,2,10,"Late Checkout, Early Check-in, Extra Bed",Corporate Billing,1,No Deposit,448.2,1,1,3,6.0,1
BK001010,Heritage Hotel,2024-03-17,2024-09-14,2024-09-21,Spain,Kayak,Standard,1,0,7,1,286.0,2002.0,Half Board,Flexible,181,1,3,Baby Cot,Debit Card,1,No Deposit,286.0,1,1,1,4.0,1
BK001011,Boutique Hotel Central,2023-04-11,2023-05-06,2023-05-17,Japan,Booking.com,Deluxe,2,1,11,3,432.0,4752.0,Full Board,Non-refundable,25,1,6,None,Debit Card,1,No Deposit,432.0,1,1,0,10.0,0
BK001012,Modern Stays,2024-07-23,2025-06-26,2025-07-08,Italy,Agoda,Family Room,3,1,12,4,196.2,2354.4,All Inclusive,Flexible,338,5,5,None,Credit Card,1,No Deposit,196.2,0,2,0,9.0,1
