booking_id,hotel_type,lead_time_days,arrival_month,arrival_day,stays_weekend_nights,stays_week_nights,adults,children,booking_channel,deposit_type,customer_type,avg_daily_rate,special_requests,required_parking_spaces,previous_cancellations,previous_bookings_not_canceled,is_repeated_guest,is_canceled
faad4210-3331-4812-a804-fe78f5150368,ResortHotel,342,3,7,13,1,3,0,Corporate,NonRefund,Contract,57.92,1,2,2,9,1,0
b4a3d2f4-9a21-46e4-9a99-0faaca209fd2,ResortHotel,137,7,28,3,4,3,0,TravelAgent,Refundable,Group,74.19,1,2,2,5,1,0
de911a9d-6ef3-4c22-adf1-d25fd013d297,ResortHotel,265,8,11,7,6,4,1,Online,Refundable,Contract,442.95,0,0,4,3,1,1
b3fadaee-c4b1-40ab-abdf-3f079faf71f2,ResortHotel,102,4,7,1,10,3,0,Corporate,NonRefund,Transient,382,5,0,1,7,1,0
7a2efff7-7973-43f0-b54a-46b848f4d8b7,CityHotel,43,9,6,3,1,3,3,Corporate,Refundable,Contract,424.31,2,1,0,3,1,0
d072a076-a4d1-4887-8c6f-3c4fe72ef832,CityHotel,219,3,26,10,3,3,0,Corporate,NonRefund,Transient-Party,326.33,2,0,1,7,1,0
34bf5ceb-ea5a-4ffb-8d46-34e1b6b14bd1,ResortHotel,312,1,22,10,0,2,1,Corporate,Refundable,Group,207.97,5,1,0,7,1,0
87d75ca5-600a-4843-83ed-4121d4b0733a,CityHotel,339,4,6,0,10,4,3,TravelAgent,NoDeposit,Group,79.53,3,0,4,2,0,1
13f72bc4-8c66-4538-a223-de0dd8faffe7,ResortHotel,199,3,5,3,0,4,0,TravelAgent,NoDeposit,Transient-Party,419.95,2,1,2,10,1,1
93e612b6-ac5c-413b-89dc-8d28e6972137,CityHotel,256,6,1,10,1,1,1,Direct,Refundable,Contract,458.44,4,0,2,10,1,0
7e9dcda0-592d-4746-b3d5-95148117effa,CityHotel,274,5,8,5,8,2,3,Direct,NoDeposit,Group,186.15,3,2,3,10,1,1
d597093b-3527-4db6-9645-0d7bd42eb3f2,ResortHotel,297,7,10,1,8,4,1,Corporate,NonRefund,Contract,322.01,2,1,0,2,0,0
c79856f8-92d7-4c93-814d-69d0ad469484,CityHotel,29,1,22,2,2,4,3,TravelAgent,Refundable,Group,366.56,5,2,1,8,1,0
39570d78-8e90-49de-bd66-c9dfddec7e88,CityHotel,306,3,21,1,1,3,1,Online,NonRefund,Transient-Party,391.47,5,2,3,10,1,1
2694b2c0-e7a4-4105-a071-44f039a89a8b,ResortHotel,113,5,22,6,3,4,0,Direct,NoDeposit,Contract,360.53,1,2,4,9,1,1
ca43cd3e-90a7-4aea-89f9-fae5762d1c78,CityHotel,143,7,1,2,1,4,2,TravelAgent,NonRefund,Transient-Party,104.45,2,1,1,3,1,0
a0c5faf0-98e9-4b2c-85ef-51118291c639,CityHotel,82,10,24,3,6,3,3,TravelAgent,NonRefund,Group,325.01,0,1,0,3,1,0
029ab570-fdd0-4e21-9750-67e520406d8a,CityHotel,302,3,11,9,0,4,0,Corporate,NoDeposit,Contract,368.46,0,0,0,5,1,1
898b13b3-0845-4018-bd23-b5573ded9992,ResortHotel,159,2,25,4,1,4,0,Online,NonRefund,Group,177.77,1,2,0,4,1,0
16a56e6e-08d3-44fd-b0b0-c059d245efa7,ResortHotel,237,7,14,1,5,2,0,TravelAgent,NoDeposit,Group,361.4,0,1,4,0,0,1
4a8849c8-9550-4252-b91e-c83176bf98c0,ResortHotel,101,7,12,0,2,1,3,Direct,Refundable,Transient-Party,91.77,2,1,4,10,1,0
c4b4cb78-902f-42bb-8065-a36167428284,ResortHotel,212,12,22,4,10,2,1,Corporate,Refundable,Group,365.01,5,0,2,9,1,0
c14620c0-0dcf-4ca1-abb2-e48f314ad85b,ResortHotel,14,11,15,4,10,4,2,Direct,NoDeposit,Contract,327.24,2,2,3,7,1,0
bc4aa874-8dfe-40c4-ae97-de408e2190af,ResortHotel,8,12,17,12,2,1,3,Corporate,Refundable,Group,459.06,4,0,1,2,0,0
c23889f3-2db4-4e9c-a706-f03b9f28ba51,ResortHotel,364,11,22,1,2,4,2,Online,Refundable,Transient-Party,279.37,5,0,1,9,1,1
57110c7e-137e-465d-95a8-7d7d15882074,CityHotel,258,11,1,1,1,2,3,Direct,NonRefund,Contract,385.63,4,1,2,6,1,0
3ad5f5c0-0756-41ce-865e-4d1c2adc45fd,CityHotel,179,7,21,10,4,2,1,Direct,Refundable,Group,192.51,3,0,4,7,1,1
47767ff8-f93c-41f0-80d1-2e7ee8f62b55,ResortHotel,201,4,14,0,8,1,2,Online,NonRefund,Transient-Party,489.89,5,0,3,7,1,1
257ad518-6ede-442e-b24d-b6eaa877996d,ResortHotel,186,5,14,1,1,1,2,Online,NonRefund,Contract,277.55,2,1,0,0,0,0
40e002cd-781e-4d23-9e30-25400111f9df,ResortHotel,9,1,18,0,2,3,3,Direct,NonRefund,Contract,256.2,3,0,1,7,1,0
7f6a304c-359b-4689-b6f4-c6670692adde,ResortHotel,235,5,22,0,3,2,0,Corporate,NoDeposit,Contract,106.76,5,0,3,10,1,1
ea87b250-d0ae-4182-a9cd-55705ae5e7aa,CityHotel,150,9,10,2,1,4,1,Corporate,NonRefund,Contract,447.88,2,2,3,1,0,1
4edd0683-0f82-4b1d-998e-f7ea129329f8,ResortHotel,154,11,15,0,3,1,2,Corporate,NoDeposit,Transient-Party,372.27,3,0,4,5,1,1
42540b63-71fb-423b-9daa-1167507f33af,CityHotel,172,11,16,1,7,1,1,TravelAgent,NonRefund,Transient,57.96,3,1,3,8,1,0
da707c22-ef5e-42ad-936e-5369cff93ca8,CityHotel,17,7,17,9,5,3,3,Online,NonRefund,Transient,358.13,2,2,1,3,1,0
e450612c-2b5a-4567-94cd-cc64999cae0f,CityHotel,9,6,14,1,4,1,3,Direct,NoDeposit,Transient,355.38,3,0,0,10,1,0
2d817b58-789b-449d-aea1-3bdae746b3e2,ResortHotel,258,2,14,8,2,1,1,TravelAgent,NonRefund,Transient,257.97,2,2,0,6,1,0
bc1749eb-e75c-4b71-ac3c-70a18e9658da,ResortHotel,222,6,25,4,3,2,0,Online,NoDeposit,Group,175.5,2,2,1,3,1,1
c34a4f41-3354-4cf0-aa7f-6e9be4535224,CityHotel,311,6,25,1,7,2,3,Direct,NonRefund,Transient,452.6,4,2,4,6,1,1
8b2e4314-da7e-4a09-845e-7126200fc108,CityHotel,86,3,21,1,0,1,1,Corporate,Refundable,Group,160.31,5,0,0,8,1,0
74428348-fab8-4dc8-8d28-307fc1b5c9dd,CityHotel,254,11,26,7,1,4,3,Online,Refundable,Group,470.42,1,0,3,4,1,1
ec440156-cfe5-4f1a-9d05-65fa2d8f99f0,CityHotel,205,7,8,0,4,1,0,Online,Refundable,Transient-Party,140.49,1,0,4,2,0,1
821ce3ca-1189-427d-9f85-4c972f0eec3b,CityHotel,43,3,22,0,8,1,0,Online,NonRefund,Contract,295.05,1,1,2,7,1,0
b9bce901-c34e-4dfb-9d32-02d0070d3733,ResortHotel,263,12,7,0,2,2,1,Direct,NonRefund,Contract,318.22,4,1,0,9,1,0
5d94175e-b7ca-44ab-8552-596157e52031,ResortHotel,176,3,25,2,3,2,3,Online,NonRefund,Transient,459.2,4,0,1,7,1,0
711efca2-2c52-4884-9cf8-9f80de39ad35,CityHotel,257,6,13,0,2,3,0,Corporate,NonRefund,Group,423.29,5,2,0,7,1,0
1ee560de-54ed-4332-bee9-34c0375bc41a,CityHotel,2,1,26,0,11,4,0,Online,NonRefund,Transient-Party,436.68,5,0,1,6,1,0
bd3fd884-0451-488e-9ca8-fe25205af89e,ResortHotel,155,3,28,8,4,3,0,Corporate,NoDeposit,Group,163.31,0,2,2,2,0,1
d26a6986-ef9c-43c0-9216-efe45fd9af07,CityHotel,168,1,8,4,1,2,0,Direct,Refundable,Transient,368.6,5,0,3,7,1,1
ccba4278-cda4-4137-83e7-d671cd64cba1,CityHotel,0,8,21,4,6,3,3,Online,Refundable,Contract,271.62,0,2,1,2,0,0
fc153add-025f-4390-9162-ba1f8bf62362,CityHotel,201,6,25,1,4,3,3,Online,NoDeposit,Transient,243.3,1,0,3,8,1,1
8db0fc58-e475-4fda-a82a-68179e0156da,CityHotel,339,9,7,1,1,4,2,Corporate,NonRefund,Transient,343.55,5,0,4,3,1,0
bc53f6d6-bba9-48f0-802a-5244bfee9eb5,ResortHotel,218,7,10,3,10,3,3,Direct,NonRefund,Transient,288.24,4,0,1,10,1,0
da423e3a-c522-4dfa-8e21-b3bc658f292d,ResortHotel,165,11,12,5,9,2,1,Direct,NonRefund,Group,308.81,3,2,4,9,1,1
57cd27a6-6045-4957-9592-d1c111a46532,CityHotel,173,12,25,14,0,4,1,TravelAgent,NoDeposit,Transient-Party,480.49,5,0,3,7,1,1
12ea5306-7aa9-4ce1-8e25-876f686f488f,ResortHotel,0,11,15,3,7,1,1,Direct,NoDeposit,Transient,415.16,0,2,5,4,1,1
abaa351e-0022-404f-aea0-6fec28a5dffe,CityHotel,83,7,15,0,12,3,1,Direct,NoDeposit,Transient,405.8,3,2,0,10,1,0
191c2a1f-3f4a-4141-9896-d3e28a4cf65a,CityHotel,144,9,26,4,4,1,1,Online,Refundable,Transient,344.46,1,2,1,0,0,0
f82a9757-53cd-414d-81c2-24cda20b6592,CityHotel,349,7,18,1,1,1,2,TravelAgent,Refundable,Transient,444.75,4,2,0,7,1,0
5d4d0fbe-73f1-4d15-a193-3f33ded7a3ac,ResortHotel,79,11,16,6,4,4,0,Online,Refundable,Transient,408.82,5,1,1,8,1,0
a68bb5a8-f5c5-463e-99cb-16a287255ca9,ResortHotel,346,7,21,1,0,4,3,Direct,Refundable,Transient-Party,168.43,1,0,2,2,0,1
5f423a5d-1948-4f09-9860-34164f7e4b0b,CityHotel,270,9,18,4,3,4,1,Direct,Refundable,Transient-Party,253.08,3,0,2,7,1,0
cb417cab-b835-4619-9ec6-9e0fd3770fcf,CityHotel,18,11,19,5,2,3,3,Direct,NonRefund,Contract,484.39,4,1,3,7,1,0
7736ba68-dba2-4346-958f-1c2bbd88ccd4,ResortHotel,12,9,20,2,2,2,1,Corporate,Refundable,Group,287.74,1,1,5,4,1,0
186fed51-efd1-4de3-a038-c0e4bbc25f52,ResortHotel,59,12,3,3,3,4,1,TravelAgent,NonRefund,Transient-Party,392.34,0,2,0,6,1,0
d6a43cbc-03e5-4c0c-a8b2-fdc3fadd737d,ResortHotel,234,8,28,1,3,1,3,Direct,NonRefund,Group,370.71,1,1,0,0,0,0
56d4231c-8b65-4be6-97d5-5bfc81277465,ResortHotel,335,12,12,3,3,1,2,Corporate,NonRefund,Transient-Party,77.53,5,2,3,7,1,0
ce457af6-0713-437a-8c83-7245e19fde10,ResortHotel,194,5,1,5,9,2,3,Corporate,NonRefund,Transient,295.08,0,0,1,3,1,1
3e44f247-98cd-4b14-bb4c-cbc0dd307115,CityHotel,118,11,15,1,5,3,3,Online,Refundable,Contract,97.72,1,0,3,2,0,0
