booking_id,hotel_type,lead_time_days,room_type,nights,guests,booking_channel,avg_daily_rate,expected_revenue,canceled,no_show,refund_percent,refund_amount,penalty_fee,rebooked,recovered_revenue,high_season,special_event,advance_payment,revenue_loss
5cd50a9c-975f-4646-8080-5ae911c62c1d,BusinessHotel,288,Executive,7,5,Corporate,588.09,4116.63,0,0,0,0,0,0,0,1,1,1,4116.63
61eb52f4-4256-4f04-8b50-2caf253159ed,CityHotel,150,Executive,6,2,Online,181.75,1090.5,0,0,0,0,0,0,0,0,1,1,1090.5
a3595914-e5a7-41b8-b3a7-58bdc45c04ec,CityHotel,82,Deluxe,2,5,Direct,382.28,764.56,0,0,0,0,0,0,0,1,0,0,764.56
02919163-0f01-45d1-ada0-cb410728e7b4,BusinessHotel,67,Executive,10,2,Agent,116.68,1166.8,0,0,0,0,0,0,0,1,0,0,1166.8
1ce42486-590f-4fe9-8634-b3b91ccbfbee,BusinessHotel,193,Deluxe,5,5,Direct,421.99,2109.95,0,0,0,0,0,0,0,0,1,0,2109.95
703399da-30b3-42a7-8aa3-ded8362faf3f,ResortHotel,76,Standard,3,1,Online,425.4,1276.2,0,0,0,0,0,0,0,1,0,1,1276.2
8b29f1c0-1ff5-4bff-9afb-0b61af6e4966,BusinessHotel,333,Deluxe,13,3,Corporate,278.73,3623.49,1,0,25,905.87,204.42,1,2738.76,1,1,1,0
5182ba7d-b5ca-4222-a4cb-ccd21e4e0a09,BusinessHotel,234,Executive,12,4,Direct,300.1,3601.2,1,0,100,3601.2,782.86,1,3227.03,0,0,1,0
63e94312-c54f-469d-a582-a577cdc3c7fd,CityHotel,55,Suite,4,3,Corporate,472.26,1889.04,0,0,0,0,0,0,0,0,1,1,1889.04
9c47cbc2-6df5-4065-8f19-7b8e53ef968e,ResortHotel,106,Suite,13,4,Corporate,150.57,1957.41,1,0,25,489.35,206.77,0,0,0,0,1,282.58
47059296-e5ec-4fc3-9118-601aa481543d,BusinessHotel,182,Executive,3,4,Direct,170.2,510.6,0,0,0,0,0,0,0,1,0,0,510.6
b2f51cb6-654b-4da2-bf1e-29af41f8f84e,CityHotel,119,Executive,4,5,Direct,182.14,728.56,0,0,0,0,0,0,0,0,1,1,728.56
b3b4a40f-231c-40e4-b6da-e700cddbe7d3,BusinessHotel,290,Standard,3,1,Agent,248.34,745.02,1,0,100,745.02,189.48,0,0,1,1,0,555.54
8a025176-bb40-4500-9cd3-2a3a01b83df3,ResortHotel,227,Suite,10,4,Corporate,95.76,957.6,0,0,0,0,0,0,0,0,1,0,957.6
d5ac3a0b-6626-4e68-a5d4-5df2a1a09e3e,BusinessHotel,59,Deluxe,13,1,Agent,78.63,1022.19,1,0,0,0,81.03,0,0,1,1,0,0
ffc12a21-bb55-4254-8526-3b6d57cab0a3,ResortHotel,123,Deluxe,10,1,Direct,330.21,3302.1,1,0,75,2476.57,275.96,1,1235.93,0,0,1,964.68
171ff1f6-1fcb-489c-8438-3aec47637511,BusinessHotel,86,Deluxe,11,3,Direct,219.58,2415.38,0,0,0,0,0,0,0,0,0,0,2415.38
748c9419-5016-4b02-b26c-0e78eedcb8c4,ResortHotel,19,Deluxe,2,5,Agent,201.69,403.38,0,1,0,0,0,0,0,0,1,0,403.38
6ce8ad9d-bd66-4228-9d03-260d48c7df12,ResortHotel,275,Suite,5,5,Agent,265.87,1329.35,1,0,75,997.01,26.85,0,0,0,1,0,970.16
a9a1da16-24bb-4cb4-bde0-251034ed5c02,BusinessHotel,350,Standard,10,3,Agent,316.09,3160.9,0,0,0,0,0,0,0,0,1,1,3160.9
dd28f000-b3a3-41a6-9872-184ff196838c,BusinessHotel,278,Executive,2,5,Direct,80.1,160.2,0,0,0,0,0,0,0,0,1,1,160.2
b0e8e14e-1b00-4ee7-bfab-cbf138ee205f,ResortHotel,64,Suite,5,4,Agent,73.22,366.1,1,0,50,183.05,44.14,0,0,1,0,1,138.91
9ca70830-ad46-4a4a-aacf-c705eced3a65,BusinessHotel,260,Executive,5,2,Agent,139.74,698.7,1,0,50,349.35,113.09,0,0,1,1,1,236.26
22d19198-5e3b-4bc5-aa59-f8457bf0908f,CityHotel,107,Executive,2,4,Online,289.67,579.34,1,0,75,434.5,126.47,0,0,0,1,0,308.03
1eecd40a-eca2-48af-a013-d69e23af6738,CityHotel,139,Deluxe,7,4,Corporate,423.43,2964.01,1,0,0,0,408.44,0,0,1,0,0,0
520445f1-590d-4563-8aad-9a760b5d3c01,ResortHotel,28,Deluxe,2,3,Corporate,477.46,954.92,1,0,0,0,119.34,0,0,0,0,1,0
1b3d391d-3f7d-4929-b60a-96e01c55a813,BusinessHotel,312,Executive,6,1,Agent,298.9,1793.4,0,0,0,0,0,0,0,0,1,1,1793.4
c6e2949a-cc93-43a3-bde8-d825cf8edac6,ResortHotel,186,Executive,1,1,Corporate,238.28,238.28,1,0,25,59.57,66.29,0,0,0,0,1,0
f4a2c6e9-aa87-4667-ac97-8214e0cd566d,BusinessHotel,265,Executive,13,5,Online,166.39,2163.07,1,0,75,1622.3,155.87,1,1540.74,1,0,0,0
cf6523b8-952c-44a8-8f72-c933685c3c33,BusinessHotel,231,Standard,7,2,Direct,527.26,3690.82,0,0,0,0,0,0,0,1,0,1,3690.82
e3d77449-855d-45d6-b0a8-d9731929d46e,CityHotel,98,Executive,2,5,Online,405.14,810.28,1,0,75,607.71,19.16,0,0,1,1,0,588.55
0aa9b588-2799-45e7-8bb7-3d44054dc31c,BusinessHotel,176,Standard,4,3,Agent,174.87,699.48,0,0,0,0,0,0,0,1,1,0,699.48
56faf3e9-c841-434b-8eb6-5d276fca3381,CityHotel,171,Deluxe,12,1,Agent,497.11,5965.32,1,0,25,1491.33,1302,0,0,1,1,1,189.33
4a727a9a-0175-4fad-914b-ac926d7da1ed,BusinessHotel,356,Deluxe,14,1,Agent,294.4,4121.6,1,0,0,0,933.27,0,0,1,1,1,0
821c7f1b-69ba-4f75-86c4-50741cace72e,BusinessHotel,136,Suite,13,2,Corporate,337.72,4390.36,0,0,0,0,0,0,0,0,0,1,4390.36
88bbcf1b-f427-42d8-83d3-bbe468047835,CityHotel,48,Suite,8,5,Corporate,330.16,2641.28,0,1,0,0,0,0,0,0,1,1,2641.28
d7e61bfb-d922-4546-bab1-fa15f2640027,CityHotel,220,Executive,8,3,Online,333.75,2670,1,0,25,667.5,73.79,0,0,0,1,1,593.71
f05c3fcb-088b-45ee-8a5b-1360e7fd53bd,ResortHotel,244,Suite,3,3,Agent,484.46,1453.38,0,0,0,0,0,0,0,0,0,0,1453.38
b3237978-bbd2-4645-a557-e7315a09f5f1,ResortHotel,358,Deluxe,11,5,Corporate,115.55,1271.05,0,0,0,0,0,0,0,1,0,0,1271.05
ca242ede-cc90-46a9-9607-edb927dbf7f0,BusinessHotel,44,Executive,2,1,Online,383.88,767.76,1,0,25,191.94,194.42,0,0,1,0,1,0
7e3ac2c0-024b-4fd1-bda7-66946dfb4dc5,BusinessHotel,117,Standard,6,5,Online,423.08,2538.48,0,0,0,0,0,0,0,0,1,0,2538.48
9524f7d4-299b-4f2a-9594-74e00f657772,CityHotel,305,Suite,12,4,Direct,468.23,5618.76,0,0,0,0,0,0,0,0,0,1,5618.76
24088042-59a0-43c0-ad72-023f3393a119,CityHotel,318,Standard,14,2,Corporate,384.62,5384.68,0,0,0,0,0,0,0,0,1,0,5384.68
78792945-a568-4ec5-bee8-53a40c227200,ResortHotel,229,Deluxe,6,5,Direct,428.15,2568.9,0,0,0,0,0,0,0,1,0,1,2568.9
1f20e28a-33a3-459f-8b54-7b85930912e5,BusinessHotel,94,Deluxe,4,1,Agent,480.57,1922.28,0,0,0,0,0,0,0,0,0,0,1922.28
dc8f8127-3648-4156-a895-61464aa0b9fd,ResortHotel,314,Executive,7,5,Corporate,262.45,1837.15,1,0,100,1837.15,477.51,1,1374.04,1,0,1,0
b7708067-adee-4b26-8abd-f4827bf7c250,BusinessHotel,234,Standard,10,4,Online,88.94,889.4,0,0,0,0,0,0,0,1,0,1,889.4
884f8d96-92cf-4fcb-8418-d8dd18a9d93c,BusinessHotel,215,Executive,13,3,Corporate,193.13,2510.69,1,0,25,627.67,39.27,0,0,0,0,1,588.4
d027a2d7-4002-4af6-ac4b-988b1068ebf4,ResortHotel,150,Standard,6,2,Direct,329.54,1977.24,0,0,0,0,0,0,0,0,0,1,1977.24
af585416-01f5-4adc-8f57-0562b0a17fc3,CityHotel,235,Executive,9,1,Online,228.31,2054.79,1,0,50,1027.39,32.94,0,0,1,1,1,994.45
7c30205f-be0f-42dd-92c7-493d2f963d32,BusinessHotel,161,Standard,12,3,Corporate,192.92,2315.04,0,0,0,0,0,0,0,1,0,0,2315.04
dba2264d-d3a8-4134-aee6-bc62fb72d404,CityHotel,122,Suite,13,5,Online,273.5,3555.5,1,0,50,1777.75,985.9,0,0,1,0,0,791.85
2b91a6b1-f902-4bea-b1f2-1b66f0735034,BusinessHotel,125,Standard,10,4,Corporate,81.56,815.6,1,0,100,815.6,68.34,1,768.84,0,0,1,0
