record_id,hotel_type,city_tier,month,day_of_week,is_weekend,season,special_event,local_event_score,competitor_avg_price,hotel_avg_price,rooms_available,rooms_booked_last_week,lead_time_avg,search_volume_index,marketing_campaign,weather_score,predicted_demand_score,demand_fluctuation_label,demand_level_class
2b456e8e-f7aa-494a-bbbe-48d1fe03021a,ResortHotel,Tier3,5,3,0,High,1,4,197.41,236.35,122,109,46,153,1,7,109.85,Low,0
b89aec21-c21b-4122-b219-9dfbcb3598ad,AirportHotel,Tier2,9,6,1,Peak,0,4,145.49,66.87,218,74,89,153,1,3,92.81,Low,0
72b80748-aea0-48ec-b9ed-6bc3dd65a8c7,ResortHotel,Tier2,12,3,0,Low,0,1,334.51,98.27,82,189,14,26,1,7,49.69,Low,0
6c470920-942f-40b9-9b39-da957f74115f,BusinessHotel,Tier2,4,6,1,Peak,1,3,145.6,278.67,282,255,78,104,1,4,122.79,Medium,1
92525cd2-3f64-4786-b280-b937d253b38e,AirportHotel,Tier3,5,1,0,Low,1,3,235.99,65.21,77,178,96,155,1,5,105.54,Low,0
cb6fd0dd-8665-41ee-9246-4eb0df702ebc,ResortHotel,Tier2,10,7,1,High,0,6,85.04,329.19,27,118,5,153,0,3,78.58,Low,0
c3a06398-c04c-4f6e-8b83-06fd9eeee6e5,CityHotel,Tier2,11,1,0,Low,0,9,321.37,190.49,91,225,5,141,1,3,110.32,Low,0
0288a768-4991-4b1c-a7ab-ac68cc6485a0,BusinessHotel,Tier2,2,5,0,Mid,0,1,260.96,217.97,280,16,113,86,1,3,34.43,Low,0
7fe7196b-fc49-4543-b32b-593c5ac07edc,CityHotel,Tier2,8,2,0,High,0,10,297.96,192.8,39,65,114,53,1,8,73.79,Low,0
9c9012c1-8e94-4134-b56b-16fe0238c651,CityHotel,Tier1,2,2,0,High,1,10,229.52,162.27,87,54,119,149,0,1,76.54,Low,0
afe97b0c-c285-41bd-b836-770569b190f0,BusinessHotel,Tier2,3,6,1,Peak,0,1,331.24,361.24,80,116,54,125,0,5,59.54,Low,0
0c1daabb-22cc-405f-8037-08caa37d6ee3,CityHotel,Tier2,11,7,1,High,0,10,125.26,127.5,282,198,51,113,0,8,92.47,Low,0
274f06b0-8ad0-4144-8397-e74f3a556bf3,BusinessHotel,Tier2,2,5,0,Low,0,6,202.01,395.04,30,128,97,75,0,3,56.94,Low,0
d6ee72cf-2650-408a-b98c-778067bd0207,BusinessHotel,Tier1,12,1,0,Low,1,10,312.52,176.63,169,117,118,175,0,3,109.12,Low,0
b6dc1431-fc66-4a10-9f5c-e583864f49d7,CityHotel,Tier1,3,7,1,High,1,0,367.19,264.56,249,236,87,33,0,10,90.75,Low,0
6db06969-32e4-4db6-8a76-ad9276fbf010,CityHotel,Tier1,12,2,0,Peak,0,8,398.83,221.16,258,191,39,128,1,7,124.09,Medium,1
9dd8f49d-de82-4a4e-bfb5-ed01e4f80bca,CityHotel,Tier3,12,2,0,High,0,3,236.28,341.03,276,268,54,20,0,6,70.56,Low,0
